pdb_id,designed_chain,beta,mean_scaled_hydropathy,mean_net_charge,signed_net_charge,n_residues,uversky_boundary,distance_from_boundary,predicted_disordered
3G3B,A,-3.0,0.32090729783037475,0.6627218934911243,-112,169,-0.25727317554240625,0.9199950690335306,True
3G3B,A,-1.5,0.39704142011834326,0.40828402366863903,-69,169,-0.045239644970413995,0.453523668639053,True
3G3B,A,0.0,0.4967126890203814,0.0650887573964497,-11,169,0.23234483892176216,-0.16725608152531246,False
3G3B,A,1.5,0.38487836949375415,0.41420118343195267,70,169,-0.07911374095989476,0.49331492439184743,True
3G3B,A,3.0,0.285207100591716,0.621301775147929,105,169,-0.3566982248520709,0.9779999999999999,True
3G3A,A,-3.0,0.3057218895542249,0.6586826347305389,-110,167,-0.2995645375914836,0.9582471723220225,True
3G3A,A,-1.5,0.39900199600798414,0.4491017964071856,-75,167,-0.0397794411177641,0.4888812375249497,True
3G3A,A,0.0,0.475515635395875,0.0,0,167,0.1733110445775119,-0.1733110445775119,False
3G3A,A,1.5,0.39314703925482375,0.3532934131736527,59,167,-0.056085495675315844,0.40937890884896855,True
3G3A,A,3.0,0.31703260146373924,0.5748502994011976,96,167,-0.26806420492348615,0.8429145043246837,True
1PXV,A,-3.0,0.3226472374013357,0.6284153005464481,-115,183,-0.25242744383728,0.8808427443837281,True
1PXV,A,-1.5,0.4344869459623558,0.36065573770491804,-66,183,0.0590461445051611,0.30160959319975694,True
1PXV,A,0.0,0.46545233758348514,0.03825136612021858,-7,183,0.14528476017000624,-0.10703339404978766,False
1PXV,A,1.5,0.3959927140255009,0.32786885245901637,60,183,-0.04816029143898004,0.3760291438979964,True
1PXV,A,3.0,0.3229508196721312,0.5245901639344263,96,183,-0.25158196721311465,0.7761721311475409,True
1Y4H,A,-3.0,0.318946692357097,0.6242774566473989,-108,173,-0.26273346178548485,0.8870109184328837,True
1Y4H,A,-1.5,0.41811175337186895,0.3352601156069364,-58,173,0.01344123314065504,0.3218188824662814,True
1Y4H,A,0.0,0.46981374438021833,0.06936416184971098,-12,173,0.157431278098908,-0.08806711624919702,False
1Y4H,A,1.5,0.423121387283237,0.2254335260115607,39,173,0.027393063583815103,0.1980404624277456,True
1Y4H,A,3.0,0.29210019267822734,0.5491329479768786,95,173,-0.3375009633911368,0.8866339113680154,True
2D7D,B,-3.0,0.2400584795321637,0.8157894736842105,-31,38,-0.48243713450292414,1.2982266081871345,True
2D7D,B,-1.5,0.30058479532163745,0.7368421052631579,-28,38,-0.31387134502923963,1.0507134502923976,True
2D7D,B,0.0,0.3614035087719298,0.02631578947368421,1,38,-0.14449122807017556,0.17080701754385977,True
2D7D,B,1.5,0.2154970760233918,0.7631578947368421,29,38,-0.5508406432748538,1.3139985380116959,True
2D7D,B,3.0,0.12748538011695904,0.8947368421052632,34,38,-0.7959532163742691,1.6906900584795324,True
2NMV,B,-3.0,0.16988304093567244,0.8947368421052632,-34,38,-0.6778757309941523,1.5726125730994154,True
2NMV,B,-1.5,0.30409356725146197,0.7105263157894737,-27,38,-0.3040994152046784,1.014625730994152,True
2NMV,B,0.0,0.2862573099415205,0.05263157894736842,-2,38,-0.3537733918128654,0.4064049707602338,True
2NMV,B,1.5,0.2175438596491228,0.7894736842105263,30,38,-0.545140350877193,1.3346140350877194,True
2NMV,B,3.0,0.08625730994152049,0.9210526315789473,35,38,-0.9107733918128654,1.8318260233918129,True
3NDB,B,-3.0,0.27539682539682536,0.7452380952380953,-313,420,-0.38401984126984134,1.1292579365079365,True
3NDB,B,-1.5,0.41791005291005295,0.46904761904761905,-197,420,0.012879497354497449,0.4561681216931216,True
3NDB,B,0.0,0.49888888888888894,0.05,-21,420,0.23840555555555576,-0.18840555555555577,False
3NDB,B,1.5,0.38497354497354497,0.5,210,420,-0.07884867724867717,0.5788486772486772,True
3NDB,B,3.0,0.2794179894179895,0.6857142857142857,288,420,-0.37282089947089925,1.058535185185185,True
2Z5H,C,-3.0,0.222008547008547,0.8461538461538461,-44,52,-0.5327061965811966,1.3788600427350426,True
2Z5H,C,-1.5,0.317948717948718,0.7307692307692307,-38,52,-0.26551282051282044,0.9962820512820512,True
2Z5H,C,0.0,0.3628205128205128,0.11538461538461539,-6,52,-0.14054487179487185,0.25592948717948727,True
2Z5H,C,1.5,0.24423076923076922,0.75,39,52,-0.4708173076923077,1.2208173076923077,True
2Z5H,C,3.0,0.16709401709401706,0.8653846153846154,45,52,-0.6856431623931625,1.551027777777778,True
2Z5I,C,-3.0,0.23333333333333336,0.84,-42,50,-0.5011666666666665,1.3411666666666666,True
2Z5I,C,-1.5,0.2982222222222222,0.74,-37,50,-0.32045111111111113,1.060451111111111,True
2Z5I,C,0.0,0.4082222222222222,0.1,-5,50,-0.01410111111111112,0.11410111111111113,True
2Z5I,C,1.5,0.2782222222222222,0.72,36,50,-0.3761511111111111,1.096151111111111,True
2Z5I,C,3.0,0.214,0.8,40,50,-0.55501,1.35501,True
2ZXE,B,-3.0,0.1937106918238994,0.8377358490566038,-222,265,-0.6115157232704401,1.4492515723270438,True
2ZXE,B,-1.5,0.38712788259958064,0.41132075471698115,-109,265,-0.0728488469601678,0.48416960167714895,True
2ZXE,B,0.0,0.46050314465408804,0.011320754716981131,3,265,0.13150125786163525,-0.12018050314465412,False
2ZXE,B,1.5,0.3682599580712788,0.43018867924528303,114,265,-0.12539601677148848,0.5555846960167715,True
2ZXE,B,3.0,0.20918238993710694,0.7283018867924528,193,265,-0.5684270440251572,1.29672893081761,True
3A3Y,B,-3.0,0.20385744234800843,0.8339622641509434,-221,265,-0.5832570230607965,1.41721928721174,True
3A3Y,B,-1.5,0.329895178197065,0.5245283018867924,-139,265,-0.232241928721174,0.7567702306079664,True
3A3Y,B,0.0,0.4826834381551362,0.0,0,265,0.19327337526205435,-0.19327337526205435,False
3A3Y,B,1.5,0.33903563941299797,0.4716981132075472,125,265,-0.20678574423480067,0.6784838574423478,True
3A3Y,B,3.0,0.18155136268343816,0.7660377358490567,203,265,-0.6453794549266247,1.4114171907756814,True
3GDV,A,-3.0,0.32760828625235405,0.6305084745762712,-186,295,-0.23861092278719398,0.8691193973634652,True
3GDV,A,-1.5,0.43322033898305085,0.4067796610169492,-120,295,0.05551864406779661,0.35126101694915257,True
3GDV,A,0.0,0.511939736346516,0.04067796610169491,-12,295,0.2747521657250471,-0.2340741996233522,False
3GDV,A,1.5,0.4229755178907721,0.29152542372881357,86,295,0.026986817325800327,0.26453860640301324,True
3GDV,A,3.0,0.3337099811676083,0.5491525423728814,162,295,-0.22161770244821088,0.7707702448210922,True
3GDU,A,-3.0,0.3618669690098261,0.5782312925170068,-170,294,-0.14320049130763413,0.7214317838246409,True
3GDU,A,-1.5,0.450151171579743,0.35714285714285715,-105,294,0.10267101284958424,0.2544718442932729,True
3GDU,A,0.0,0.5058578987150416,0.05782312925170068,-17,294,0.25781424792139096,-0.19999111866969027,False
3GDU,A,1.5,0.4271352985638699,0.3231292517006803,95,294,0.038571806500377726,0.2845574452003026,True
3GDU,A,3.0,0.3427059712773999,0.5476190476190477,161,294,-0.19656386999244135,0.744182917611489,True
1FS2,A,-3.0,0.31630201630201626,0.694980694980695,-180,259,-0.27009888459888465,0.9650795795795797,True
1FS2,A,-1.5,0.42955812955812955,0.4555984555984556,-118,259,0.04531939081939074,0.41027906477906484,True
1FS2,A,0.0,0.5283140283140284,0.011583011583011582,-3,259,0.32035456885456925,-0.3087715572715577,False
1FS2,A,1.5,0.40973830973830977,0.3938223938223938,102,259,-0.009878807378807197,0.403701201201201,True
1FS2,A,3.0,0.32595452595452595,0.61003861003861,158,259,-0.2432166452166452,0.8532552552552553,True
2AST,B,-3.0,0.3355555555555555,0.6584615384615384,-214,325,-0.21647777777777788,0.8749393162393163,True
2AST,B,-1.5,0.4393162393162393,0.4276923076923077,-139,325,0.07249572649572644,0.35519658119658126,True
2AST,B,0.0,0.4854017094017094,0.027692307692307693,-9,325,0.20084376068376075,-0.17315145299145307,False
2AST,B,1.5,0.42300854700854695,0.3415384615384615,111,325,0.0270788034188032,0.3144596581196583,True
2AST,B,3.0,0.3535726495726496,0.56,182,325,-0.1663001709401708,0.7263001709401709,True
3AAA,A,-3.0,0.23520599250936328,0.7865168539325843,-210,267,-0.4959513108614233,1.2824681647940075,True
3AAA,A,-1.5,0.3675405742821473,0.5730337078651685,-153,267,-0.12739950062421967,0.7004332084893882,True
3AAA,A,0.0,0.4377028714107366,0.018726591760299626,-5,267,0.06800249687890147,-0.049275905118601845,False
3AAA,A,1.5,0.3628797336662505,0.4681647940074906,125,267,-0.14037994173949242,0.6085447357469831,True
3AAA,A,3.0,0.23803578859758634,0.6704119850187266,179,267,-0.488070328755722,1.1584823137744484,True
1IZN,A,-3.0,0.21802020202020206,0.8181818181818182,-225,275,-0.5438137373737373,1.3619955555555556,True
1IZN,A,-1.5,0.3741818181818182,0.5236363636363637,-144,275,-0.1089036363636362,0.6325399999999999,True
1IZN,A,0.0,0.48193939393939406,0.08,-22,275,0.19120121212121255,-0.11120121212121255,False
1IZN,A,1.5,0.34925252525252526,0.48,132,275,-0.17833171717171714,0.6583317171717171,True
1IZN,A,3.0,0.19414141414141414,0.7454545454545455,205,275,-0.6103161616161616,1.355770707070707,True
3MTU,A,-3.0,0.21185185185185185,0.8666666666666667,-65,75,-0.5609925925925926,1.4276592592592592,True
3MTU,A,-1.5,0.3315555555555555,0.64,-48,75,-0.22761777777777792,0.8676177777777779,True
3MTU,A,0.0,0.40162962962962967,0.04,-3,75,-0.032461481481481425,0.07246148148148143,True
3MTU,A,1.5,0.2914074074074074,0.5733333333333334,43,75,-0.3394303703703704,0.9127637037037037,True
3MTU,A,3.0,0.24088888888888887,0.72,54,75,-0.48012444444444446,1.2001244444444445,True
3GJO,A,-3.0,0.27037037037037037,0.7878787878787878,-52,66,-0.39801851851851855,1.1858973063973064,True
3GJO,A,-1.5,0.35690235690235694,0.6212121212121212,-41,66,-0.15702693602693585,0.7782390572390571,True
3GJO,A,0.0,0.43737373737373736,0.09090909090909091,-6,66,0.0670858585858587,0.02382323232323222,True
3GJO,A,1.5,0.3326599326599327,0.5303030303030303,35,66,-0.22454208754208738,0.7548451178451177,True
3GJO,A,3.0,0.24898989898989904,0.7424242424242424,49,66,-0.4575631313131312,1.1999873737373736,True
1XQH,A,-3.0,0.2606666666666667,0.712,-178,250,-0.4250433333333332,1.1370433333333332,True
1XQH,A,-1.5,0.40604444444444443,0.38,-95,250,-0.020166222222222308,0.4001662222222223,True
1XQH,A,0.0,0.4866222222222223,0.072,-18,250,0.2042428888888892,-0.1322428888888892,False
1XQH,A,1.5,0.37844444444444447,0.272,68,250,-0.09703222222222219,0.3690322222222222,True
1XQH,A,3.0,0.2339111111111111,0.644,161,250,-0.4995575555555556,1.1435575555555557,True
1O9S,A,-3.0,0.2568888888888889,0.74,-185,250,-0.4355644444444444,1.1755644444444444,True
1O9S,A,-1.5,0.38804444444444436,0.404,-101,250,-0.07029622222222254,0.47429622222222256,True
1O9S,A,0.0,0.44902222222222227,0.02,-5,250,0.09952688888888916,-0.07952688888888916,False
1O9S,A,1.5,0.3447555555555556,0.376,94,250,-0.19085577777777762,0.5668557777777776,True
1O9S,A,3.0,0.23355555555555557,0.644,161,250,-0.5005477777777777,1.1445477777777777,True
3O1I,C,-3.0,0.2867263236390753,0.7214765100671141,-215,298,-0.35246718866517524,1.0739436987322892,True
3O1I,C,-1.5,0.4517897091722596,0.41946308724832215,-125,298,0.10723434004474286,0.3122287472035793,True
3O1I,C,0.0,0.49977628635346755,0.026845637583892617,-8,298,0.24087695749440718,-0.21403131991051458,False
3O1I,C,1.5,0.4039149888143177,0.39932885906040266,119,298,-0.026096756152125256,0.4254256152125279,True
3O1I,C,3.0,0.29060402684563763,0.6308724832214765,188,298,-0.34166778523489916,0.9725402684563756,True
3O1J,C,-3.0,0.3416291291291292,0.6216216216216216,-184,296,-0.1995628753753752,0.8211844969969968,True
3O1J,C,-1.5,0.43325825825825837,0.4391891891891892,-130,296,0.05562424924924958,0.3835649399399396,True
3O1J,C,0.0,0.4671921921921922,0.037162162162162164,-11,296,0.15013025525525525,-0.11296809309309308,False
3O1J,C,1.5,0.4276276276276276,0.3277027027027027,97,296,0.03994294294294298,0.2877597597597597,True
3O1J,C,3.0,0.3113738738738739,0.5844594594594594,173,296,-0.2838237612612612,0.8682832207207206,True
1BWU,D,-3.0,0.2708460754332314,0.7522935779816514,-82,109,-0.3966936799184505,1.148987257900102,True
1BWU,D,-1.5,0.4093781855249747,0.46788990825688076,-51,109,-0.010881753312945497,0.47877166156982626,True
