pdb_id,chain,partner_chain,split,mmseqs_cluster_id,n_residues,n_interface,n_surface,n_core,buried_surface_area_a2,n_modified_residues_mapped,n_interface_delta_sasa,n_interface_contact,n_interface_both,n_interface_delta_sasa_only,n_interface_contact_only,interface_definition_jaccard,interface_source,native_sha256
3G3B,A,B,test,cluster_3G3B,169,10,70,89,757.0648178387353,0,45,43,42,3,1,0.9130434782608695,native,991b5a7ff948087173c357367f370040e9ed47229d2c662de9117710eff4d91e
3G3B,B,A,test,cluster_3G3B,127,13,48,66,760.96190069366,0,45,43,42,3,1,0.9130434782608695,native,991b5a7ff948087173c357367f370040e9ed47229d2c662de9117710eff4d91e
3G3A,A,B,test,cluster_3G3A,167,12,68,87,824.9226034041145,0,50,47,46,4,1,0.9019607843137255,native,1eb2cbdd26952ef61222b2075705b331847c4c375baba0b9c6950f855af2b11b
3G3A,B,A,test,cluster_3G3A,126,14,45,67,803.5743126505047,0,50,47,46,4,1,0.9019607843137255,native,1eb2cbdd26952ef61222b2075705b331847c4c375baba0b9c6950f855af2b11b
1PXV,A,C,test,cluster_1PXV,183,21,70,92,1114.1983060972875,0,66,59,59,7,0,0.8939393939393939,native,97902f5ff1b359fe544eccbbef285cb17f0163462f6472e5e1d7a9a2f29b8881
1PXV,C,A,test,cluster_1PXV,111,23,42,46,1189.485920589295,0,66,59,59,7,0,0.8939393939393939,native,97902f5ff1b359fe544eccbbef285cb17f0163462f6472e5e1d7a9a2f29b8881
1Y4H,A,C,test,cluster_1Y4H,173,21,58,94,1101.3547339135464,0,64,59,58,6,1,0.8923076923076924,native,4d714a16587a63f8a6ad72b020c651279b9a6e591dfed020c100fbbd8ecba2e6
1Y4H,C,A,test,cluster_1Y4H,109,19,41,49,1208.3305253608119,0,64,59,58,6,1,0.8923076923076924,native,4d714a16587a63f8a6ad72b020c651279b9a6e591dfed020c100fbbd8ecba2e6
2D7D,B,A,test,cluster_2D7D,38,9,18,11,448.6300118166797,0,29,24,22,7,2,0.7096774193548387,native,36dbbe9fe201675ec7100fd19282c46d09feea7514883d247180266c1205e249
2D7D,A,B,test,cluster_2D7D,621,9,258,354,476.8480357922649,0,29,24,22,7,2,0.7096774193548387,native,36dbbe9fe201675ec7100fd19282c46d09feea7514883d247180266c1205e249
