pdb_id,designed_chain,fixed_chain,beta,replicate,net_charge_reported,n_residues_interface,n_residues_surface,n_residues_core,n_residues_total,charge_interface_simple,charge_surface_simple,charge_core_simple,charge_total_simple,charge_interface_ph7.4_emboss,charge_surface_ph7.4_emboss,charge_core_ph7.4_emboss,charge_total_ph7.4_emboss,charge_shift_interface_simple,charge_shift_surface_simple,charge_shift_core_simple,charge_shift_total_simple,charge_density_interface_simple,charge_density_surface_simple,charge_density_core_simple,native_charge_total_simple,n_mutations_from_native
3G3B,A,B,-3.0,0,-112.0,10,70,89,169,-10,-65,-37,-112,-9.995914680157782,-65.17990541634572,-37.28261189302369,-112.45843198952721,-11,-71,-31,-113,-1.0,-0.9285714285714286,-0.4157303370786517,1,103
3G3B,A,B,-1.5,0,-69.0,10,70,89,169,-6,-43,-20,-69,-5.997918424841037,-43.188584935420224,-20.17927043521512,-69.36577379547639,-7,-49,-14,-70,-0.6,-0.6142857142857143,-0.2247191011235955,1,77
3G3B,A,B,0.0,0,-11.0,10,70,89,169,-1,-4,-6,-11,-0.9996838722023703,-4.204876716311331,-6.188294660010934,-11.392855248524636,-2,-10,0,-12,-0.1,-0.05714285714285714,-0.06741573033707865,1,69
3G3B,A,B,1.5,0,70.0,10,70,89,169,4,57,9,70,3.9987163896011584,56.7701280578455,8.66229504896196,69.43113949640862,3,51,15,69,0.4,0.8142857142857143,0.10112359550561797,1,95
3G3B,A,B,3.0,0,105.0,10,70,89,169,8,66,31,105,7.998766437670826,65.77048783594275,30.695180868990594,104.46443514260417,7,60,37,104,0.8,0.9428571428571428,0.34831460674157305,1,107
3G3A,A,B,-3.0,0,-110.0,12,68,87,167,-11,-60,-39,-110,-10.995598552360152,-60.327552317329925,-39.24083609273124,-110.56398696242132,-11,-64,-33,-108,-0.9166666666666666,-0.8823529411764706,-0.4482758620689655,-2,99
3G3A,A,B,-1.5,0,-75.0,12,68,87,167,-6,-51,-18,-75,-5.997918424841037,-51.330171103876886,-18.255666344471866,-75.58375587318979,-6,-55,-12,-73,-0.5,-0.75,-0.20689655172413793,-2,80
3G3A,A,B,0.0,0,0.0,12,68,87,167,1,0,-1,0,0.9996020512556952,-0.278084095599878,-1.3752574584149402,-0.6537395027591217,1,-4,5,2,0.08333333333333333,0.0,-0.011494252873563218,-2,69
3G3A,A,B,1.5,0,59.0,12,68,87,167,6,42,11,59,5.999562335159435,41.63698991245315,10.625529150016447,58.26208139762903,6,38,17,61,0.5,0.6176470588235294,0.12643678160919541,-2,83
3G3A,A,B,3.0,0,96.0,12,68,87,167,11,61,24,96,10.999912624588228,60.69967003459681,23.62281893198294,95.32240159116796,11,57,30,98,0.9166666666666666,0.8970588235294118,0.27586206896551724,-2,96
1PXV,A,C,-3.0,0,-115.0,21,70,92,183,-18,-65,-32,-115,-18.066788405521137,-64.03196472644902,-32.920083722459914,-115.01883685443008,-17,-53,-33,-103,-0.8571428571428571,-0.9285714285714286,-0.34782608695652173,-12,122
1PXV,A,C,-1.5,0,-66.0,21,70,92,183,-10,-50,-6,-66,-10.06958405722203,-49.04124364687448,-6.936637866303346,-66.04746557039986,-9,-38,-7,-54,-0.47619047619047616,-0.7142857142857143,-0.06521739130434782,-12,101
1PXV,A,C,0.0,0,-7.0,21,70,92,183,0,-7,0,-7,-0.0014771297393326721,-6.058181284371674,-0.8268621164256713,-6.886520530536677,1,5,-1,5,0.0,-0.1,0.0,-12,92
1PXV,A,C,1.5,0,60.0,21,70,92,183,9,45,6,60,8.921927811641439,45.92631313901003,5.061869363444567,59.910110314096045,10,57,5,72,0.42857142857142855,0.6428571428571429,0.06521739130434782,-12,99
1PXV,A,C,3.0,0,96.0,21,70,92,183,14,61,21,96,14.035386969915649,61.91750293852432,20.058650266020994,96.01154017446098,15,73,20,108,0.6666666666666666,0.8714285714285714,0.22826086956521738,-12,116
1Y4H,A,C,-3.0,0,-108.0,21,58,94,173,-20,-52,-36,-108,-19.992014168688755,-51.03681362131094,-36.845416463525,-107.8742442535247,-19,-43,-36,-98,-0.9523809523809523,-0.896551724137931,-0.3829787234042553,-10,112
1Y4H,A,C,-1.5,0,-58.0,21,58,94,173,-13,-39,-6,-58,-12.994781488391707,-38.043715237511584,-6.824329103573666,-57.86282582947697,-12,-30,-6,-48,-0.6190476190476191,-0.6724137931034483,-0.06382978723404255,-10,81
1Y4H,A,C,0.0,0,-12.0,21,58,94,173,-3,-10,1,-12,-3.0003651044530937,-9.05532442861204,0.060718967900038834,-11.994970565165094,-2,-1,1,-2,-0.14285714285714285,-0.1724137931034483,0.010638297872340425,-10,85
1Y4H,A,C,1.5,0,39.0,21,58,94,173,6,29,4,39,5.923142824354186,29.93093626614667,3.1740092042395665,39.02808829474042,7,38,4,49,0.2857142857142857,0.5,0.0425531914893617,-10,87
1Y4H,A,C,3.0,0,95.0,21,58,94,173,17,50,28,95,16.923937376004826,50.925041680457575,27.132572225128857,94.98155128159127,18,59,28,105,0.8095238095238095,0.8620689655172413,0.2978723404255319,-10,102
2D7D,B,A,-3.0,0,-31.0,9,18,11,38,-8,-18,-5,-31,-7.996177319006675,-18.050545244570127,-4.997495319145932,-31.044217882722734,-9,-14,-6,-29,-0.8888888888888888,-1.0,-0.45454545454545453,-2,24
2D7D,B,A,-1.5,0,-28.0,9,18,11,38,-8,-17,-3,-28,-7.99599251063349,-17.050861372367756,-2.9984971914875587,-28.045351074488806,-9,-13,-4,-26,-0.8888888888888888,-0.9444444444444444,-0.2727272727272727,-2,22
2D7D,B,A,0.0,0,1.0,9,18,11,38,2,-3,2,1,1.9994100773644083,-3.0573595416266035,1.9995941080364432,0.9416446437742471,1,1,1,3,0.2222222222222222,-0.16666666666666666,0.18181818181818182,-2,20
2D7D,B,A,1.5,0,29.0,9,18,11,38,7,18,4,29,6.998774380890078,17.934814460279267,3.999578221597939,28.933167062767286,6,22,3,31,0.7777777777777778,1.0,0.36363636363636365,-2,29
2D7D,B,A,3.0,0,34.0,9,18,11,38,8,18,8,34,7.997596421095667,17.933644443704107,7.99798642662072,33.929227291420496,7,22,7,36,0.8888888888888888,1.0,0.7272727272727273,-2,28
2NMV,B,A,-3.0,0,-34.0,10,18,10,38,-8,-18,-8,-34,-7.998168608177402,-18.050360436196943,-7.99599251063349,-34.04452155500784,-9,-14,-9,-32,-0.8,-1.0,-0.8,-2,28
2NMV,B,A,-1.5,0,-27.0,10,18,10,38,-7,-17,-3,-27,-6.996678255177488,-17.05104618074094,-2.9984971914875587,-27.046221627405988,-8,-13,-4,-25,-0.7,-0.9444444444444444,-0.3,-2,22
2NMV,B,A,0.0,0,-2.0,10,18,10,38,2,-4,0,-2,1.9995130647909172,-4.05675561802928,0.0005959803780706263,-2.0566465728602936,1,0,-1,0,0.2,-0.2222222222222222,0.0,-2,23
2NMV,B,A,1.5,0,30.0,10,18,10,38,8,18,4,30,7.997206415570615,17.933644443704107,3.9991882160728864,29.93003907534761,7,22,3,32,0.8,1.0,0.4,-2,27
2NMV,B,A,3.0,0,35.0,10,18,10,38,9,18,8,35,8.999538505501679,17.93559447132937,7.999156443195878,34.93428942002693,8,22,7,37,0.9,1.0,0.8,-2,34
3NDB,B,A,-3.0,0,-313.0,3,197,220,420,-3,-190,-120,-313,-2.998681999860743,-190.9109471480293,-119.09035974787687,-312.99998889576693,-4,-206,-113,-323,-1.0,-0.9644670050761421,-0.5454545454545454,10,296
3NDB,B,A,-1.5,0,-197.0,3,197,220,420,-2,-160,-35,-197,-1.9989981276583726,-160.92190815937332,-34.0936398020165,-197.01454608904817,-3,-176,-28,-207,-0.6666666666666666,-0.8121827411167513,-0.1590909090909091,10,255
3NDB,B,A,0.0,0,-21.0,3,197,220,420,2,-26,3,-21,1.999984113561496,-26.971859630371263,3.901615578028757,-21.070259938781007,1,-42,10,-31,0.6666666666666666,-0.1319796954314721,0.013636363636363636,10,248
3NDB,B,A,1.5,0,210.0,3,197,220,420,2,172,36,210,1.9992041025113905,170.93396949238758,36.80797457021968,209.74114816511866,1,156,43,200,0.6666666666666666,0.8730964467005076,0.16363636363636364,10,250
3NDB,B,A,3.0,0,288.0,3,197,220,420,3,191,94,288,2.998806153767086,189.93858045846912,94.83503187307483,287.77241848531105,2,175,101,278,1.0,0.9695431472081218,0.42727272727272725,10,288
2Z5H,C,D,-3.0,0,-44.0,30,22,0,52,-22,-22,0,-44,-22.98882094003774,-21.048515155718057,0.0,-44.03733609575578,-19,-20,0,-39,-0.7333333333333333,-1.0,0.0,-5,38
2Z5H,C,D,-1.5,0,-38.0,30,22,0,52,-17,-21,0,-38,-17.991510429264984,-20.04901609188887,0.0,-38.04052652115384,-14,-19,0,-33,-0.5666666666666667,-0.9545454545454546,0.0,-5,36
2Z5H,C,D,0.0,0,-6.0,30,22,0,52,-3,-3,0,-6,-3.9974337846255987,-2.056347211554659,0.0,-6.053780996180259,0,-1,0,-1,-0.1,-0.13636363636363635,0.0,-5,31
2Z5H,C,D,1.5,0,39.0,30,22,0,52,18,21,0,39,16.993775397856982,21.93307214431694,0.0,38.92684754217392,21,23,0,44,0.6,0.9545454545454546,0.0,-5,39
2Z5H,C,D,3.0,0,45.0,30,22,0,52,23,22,0,45,21.991005643085355,22.93189418452253,0.0,44.92289982760788,26,24,0,50,0.7666666666666667,1.0,0.0,-5,39
2Z5I,C,D,-3.0,0,-42.0,28,21,1,50,-21,-20,-1,-42,-20.989480340412918,-20.04917375548213,-0.9994990638291863,-42.03815315972423,-20,-16,-1,-37,-0.75,-0.9523809523809523,-1.0,-5,36
2Z5I,C,D,-1.5,0,-37.0,28,21,1,50,-16,-20,-1,-37,-15.991985021266979,-20.04917375548213,-0.9994990638291863,-37.04065784057829,-15,-16,-1,-32,-0.5714285714285714,-0.9523809523809523,-1.0,-5,33
2Z5I,C,D,0.0,0,-5.0,28,21,1,50,-5,-1,1,-5,-4.995913352864738,-1.0564106086418183,0.999992056780748,-5.052331904725808,-4,3,1,0,-0.17857142857142858,-0.047619047619047616,1.0,-5,31
2Z5I,C,D,1.5,0,36.0,28,21,1,50,16,19,1,36,15.99402282561618,18.933246494959807,0.9996020512556952,35.92687137183168,17,23,1,41,0.5714285714285714,0.9047619047619048,1.0,-5,35
2Z5I,C,D,3.0,0,40.0,28,21,1,50,19,20,1,40,18.992438973858214,19.932848546215503,0.9996020512556952,39.92488957132941,20,24,1,45,0.6785714285714286,0.9523809523809523,1.0,-5,35
2ZXE,B,A,-3.0,0,-222.0,38,107,120,265,-33,-103,-86,-222,-32.98841732950483,-103.01794532220288,-86.05590418876008,-222.06226684046777,-37,-103,-89,-229,-0.868421052631579,-0.9626168224299065,-0.7166666666666667,7,219
2ZXE,B,A,-1.5,0,-109.0,38,107,120,265,-9,-78,-22,-109,-8.998816228388858,-78.02792162726105,-22.35215015152138,-109.37888800717128,-13,-78,-25,-116,-0.23684210526315788,-0.7289719626168224,-0.18333333333333332,7,164
2ZXE,B,A,0.0,0,3.0,38,107,120,265,0,0,3,3,-0.004555543124341144,-0.06271792960149869,2.2342532157865658,2.166979743060725,-4,0,0,-4,0.0,0.0,0.025,7,158
2ZXE,B,A,1.5,0,114.0,38,107,120,265,16,74,24,114,16.214841803406113,73.91400753175174,23.378305042553457,113.50715437771132,12,74,21,107,0.42105263157894735,0.6915887850467289,0.2,7,153
2ZXE,B,A,3.0,0,193.0,38,107,120,265,36,100,57,193,35.99191393360587,99.90569271297176,56.451775054281995,192.34938170085962,32,100,54,186,0.9473684210526315,0.9345794392523364,0.475,7,188
3A3Y,B,A,-3.0,0,-221.0,38,109,118,265,-36,-103,-82,-221,-35.98603208206075,-102.90886007508823,-82.13330197035846,-221.02819412750745,-40,-102,-87,-229,-0.9473684210526315,-0.944954128440367,-0.6949152542372882,8,221
3A3Y,B,A,-1.5,0,-139.0,38,109,118,265,-17,-91,-31,-139,-16.997765625317516,-90.91131834711322,-31.45137030012021,-139.36045427255092,-21,-90,-36,-147,-0.4473684210526316,-0.8348623853211009,-0.2627118644067797,8,178
3A3Y,B,A,0.0,0,0.0,38,109,118,265,0,-7,7,0,-0.0035502398567361926,-6.837902032480806,6.310312598513903,-0.5311396738236391,-4,-6,2,-8,0.0,-0.06422018348623854,0.059322033898305086,8,161
3A3Y,B,A,1.5,0,125.0,38,109,118,265,12,85,28,125,11.993808433508907,85.0238677194395,27.378601549320457,124.39627770226885,8,86,23,117,0.3157894736842105,0.7798165137614679,0.23728813559322035,8,165
3A3Y,B,A,3.0,0,203.0,38,109,118,265,31,103,69,203,30.994683688377503,102.90332885016369,68.60994004876946,202.50795258731065,27,104,64,195,0.8157894736842105,0.944954128440367,0.5847457627118644,8,198
3GDV,A,B,-3.0,0,-186.0,25,120,150,295,-17,-100,-69,-186,-16.996390705303543,-100.01681921055645,-68.86587698663617,-185.87908690249617,-14,-97,-69,-180,-0.68,-0.8333333333333334,-0.46,-6,189
3GDV,A,B,-1.5,0,-120.0,25,120,150,295,-9,-80,-31,-120,-8.888027999772383,-79.91317408046277,-31.000401339746382,-119.80160341998155,-6,-77,-31,-114,-0.36,-0.6666666666666666,-0.20666666666666667,-6,160
3GDV,A,B,0.0,0,-12.0,25,120,150,295,-4,-7,-1,-12,-4.002163642031386,-7.018972480653154,-0.9053764656844103,-11.92651258836895,-1,-4,-1,-6,-0.16,-0.058333333333333334,-0.006666666666666667,-6,139
3GDV,A,B,1.5,0,86.0,25,120,150,295,6,66,14,86,5.994327919296145,66.02621549619784,13.906739566787916,85.92728298228188,9,69,14,92,0.24,0.55,0.09333333333333334,-6,159
3GDV,A,B,3.0,0,162.0,25,120,150,295,14,98,50,162,13.992396166863543,97.90687861598543,49.903188654739445,161.8024634375884,17,101,50,168,0.56,0.8166666666666667,0.3333333333333333,-6,192
3GDU,A,B,-3.0,0,-170.0,24,111,159,294,-14,-94,-62,-170,-13.995717416272072,-94.01764873003746,-61.97828397857333,-169.99165012488282,-11,-87,-65,-163,-0.5833333333333334,-0.8468468468468469,-0.389937106918239,-7,185
3GDU,A,B,-1.5,0,-105.0,24,111,159,294,-5,-73,-27,-105,-5.0727659798558555,-72.80449524713401,-26.88718099066331,-104.76444221765315,-2,-66,-30,-98,-0.20833333333333334,-0.6576576576576577,-0.16981132075471697,-7,159
3GDU,A,B,0.0,0,-17.0,24,111,159,294,-2,-17,2,-17,-2.074165800941788,-16.82517397278709,1.9858835147445588,-16.91345625898432,1,-10,-1,-10,-0.08333333333333333,-0.15315315315315314,0.012578616352201259,-7,141
3GDU,A,B,1.5,0,95.0,24,111,159,294,5,67,23,95,4.9955058790905555,66.91767617143847,22.909582849306304,94.82276489983533,8,74,20,102,0.20833333333333334,0.6036036036036037,0.14465408805031446,-7,158
3GDU,A,B,3.0,0,161.0,24,111,159,294,13,96,52,161,12.995175410303625,95.90689450242394,51.979962891709874,160.88203280443742,16,103,49,168,0.5416666666666666,0.8648648648648649,0.3270440251572327,-7,196
1FS2,A,B,-3.0,0,-180.0,24,97,138,259,-16,-91,-73,-180,-15.994017913372005,-91.01952115529623,-73.26624146623305,-180.2797805349013,-16,-87,-68,-171,-0.6666666666666666,-0.9381443298969072,-0.5289855072463768,-9,182
1FS2,A,B,-1.5,0,-118.0,24,97,138,259,-11,-77,-30,-118,-10.994941139814092,-76.91256222359931,-30.17358327218224,-118.08108663559564,-11,-73,-25,-109,-0.4583333333333333,-0.7938144329896907,-0.21739130434782608,-9,147
1FS2,A,B,0.0,0,-3.0,24,97,138,259,1,-2,-2,-3,1.1117471720920236,-1.907464905406509,-2.624596480963315,-3.4203142142778002,1,2,3,6,0.041666666666666664,-0.020618556701030927,-0.014492753623188406,-9,140
1FS2,A,B,1.5,0,102.0,24,97,138,259,9,72,21,102,8.99750665692974,72.02809740017199,20.805782971893933,101.83138702899566,9,76,26,111,0.375,0.7422680412371134,0.15217391304347827,-9,144
1FS2,A,B,3.0,0,158.0,24,97,138,259,18,91,49,158,17.995176955752832,90.91239429587094,48.80299486711711,157.71056611874084,18,95,54,167,0.75,0.9381443298969072,0.35507246376811596,-9,175
2AST,B,A,-3.0,0,-214.0,26,115,184,325,-21,-107,-86,-214,-20.05104898399389,-107.84491807007764,-86.07691328734137,-213.97288034141292,-22,-111,-78,-211,-0.8076923076923077,-0.9304347826086956,-0.4673913043478261,-3,210
