pdb_id,designed_chain,partner_chain,beta,replicate,structure_source,ec_sum_product_simple,ec_mean_product_simple,ec_n_pairs,ec_n_attractive,ec_n_repulsive,ec_n_neutral,ec_contact_cutoff_a,ec_weight,ec_sum_product_ph7.4_emboss,ec_mean_product_ph7.4_emboss
3G3B,A,B,-3.0,0,native,-11.0,-0.5789473684210527,56,15,4,37,5.0,none,-10.997297810371066,-0.5788051479142666
3G3B,A,B,-1.5,0,native,-11.0,-0.6470588235294118,56,14,3,39,5.0,none,-10.997174530123612,-0.646892619419036
3G3B,A,B,0.0,0,native,-4.0,-0.6666666666666666,56,7,1,48,5.0,none,-4.002378090553327,-0.5002972613191659
3G3B,A,B,1.5,0,native,4.0,0.4,56,3,7,46,5.0,none,3.9996909936081027,0.39996909936081027
3G3B,A,B,3.0,0,native,11.0,0.6470588235294118,56,3,14,39,5.0,none,10.998409781698777,0.6469652812763986
3G3A,A,B,-3.0,0,native,-8.0,-0.4,62,14,6,42,5.0,none,-7.999440553954369,-0.39997202769771845
3G3A,A,B,-1.5,0,native,-8.0,-0.5,62,12,4,46,5.0,none,-7.998639686654008,-0.4999149804158755
3G3A,A,B,0.0,0,native,0.0,0.0,62,4,4,54,5.0,none,0.0001235392355476428,1.544240444345535e-05
3G3A,A,B,1.5,0,native,5.0,0.45454545454545453,62,3,8,51,5.0,none,5.000845114514154,0.45462228313765035
3G3A,A,B,3.0,0,native,6.0,0.3,62,7,13,42,5.0,none,6.001466638517559,0.30007333192587793
1PXV,A,C,-3.0,0,native,-11.0,-0.8461538461538461,89,12,1,76,5.0,none,-10.994239516827001,-0.8457107320636155
1PXV,A,C,-1.5,0,native,-7.0,-0.7777777777777778,89,8,1,80,5.0,none,-6.996500362222381,-0.7773889291358201
1PXV,A,C,0.0,0,native,-4.0,-0.6666666666666666,89,6,1,82,5.0,none,-3.999422317903991,-0.5713460454148559
1PXV,A,C,1.5,0,native,2.0,0.3333333333333333,89,3,4,82,5.0,none,1.9978131931085044,0.28540188472978634
1PXV,A,C,3.0,0,native,5.0,0.7142857142857143,89,1,7,81,5.0,none,5.110830015804833,0.6388537519756041
1Y4H,A,C,-3.0,0,native,-8.0,-0.5714285714285714,92,12,3,77,5.0,none,-8.108367433452456,-0.5405578288968304
1Y4H,A,C,-1.5,0,native,-5.0,-0.45454545454545453,92,9,3,80,5.0,none,-5.109914256032273,-0.4258261880026894
1Y4H,A,C,0.0,0,native,-1.0,-0.2,92,4,2,86,5.0,none,-1.0018934399644481,-0.1669822399940747
1Y4H,A,C,1.5,0,native,0.0,0.0,92,6,6,80,5.0,none,0.1108890150962516,0.009240751258020966
1Y4H,A,C,3.0,0,native,5.0,0.45454545454545453,92,3,9,80,5.0,none,5.111099986406481,0.42592499886720675
2D7D,B,A,-3.0,0,native,-1.0,-0.14285714285714285,27,4,3,20,5.0,none,-1.0011542605840975,-0.14302203722629964
2D7D,B,A,-1.5,0,native,-1.0,-0.14285714285714285,27,4,3,20,5.0,none,-1.000969453678886,-0.14299563623984085
2D7D,B,A,0.0,0,native,-1.0,-0.2,27,3,2,22,5.0,none,-0.9990801481200979,-0.1998160296240196
2D7D,B,A,1.5,0,native,0.0,0.0,27,3,3,21,5.0,none,0.001683657895136026,0.00028060964918933767
2D7D,B,A,3.0,0,native,1.0,0.14285714285714285,27,3,4,20,5.0,none,1.0001080742747765,0.1428725820392538
2NMV,B,A,-3.0,0,native,0.0,0.0,26,4,3,19,5.0,none,-0.0036544093485987306,-0.0005220584783712472
2NMV,B,A,-1.5,0,native,1.0,0.2,26,2,3,21,5.0,none,0.9978279885938631,0.19956559771877264
2NMV,B,A,0.0,0,native,2.0,0.3333333333333333,26,2,4,20,5.0,none,1.9987772563609179,0.33312954272681966
2NMV,B,A,1.5,0,native,0.0,0.0,26,3,3,20,5.0,none,0.0012938477379578206,0.00021564128965963678
2NMV,B,A,3.0,0,native,0.0,0.0,26,3,3,20,5.0,none,0.0009039655044924544,0.00015066091741540907
3NDB,B,A,-3.0,0,native,0.0,0.0,2,1,0,1,5.0,none,-0.11175975721456763,-0.11175975721456763
3NDB,B,A,-1.5,0,native,0.0,0.0,2,1,0,1,5.0,none,-0.11175975721456763,-0.11175975721456763
3NDB,B,A,0.0,0,native,0.0,0.0,2,0,1,1,5.0,none,0.11181488160094169,0.11181488160094169
3NDB,B,A,1.5,0,native,0.0,0.0,2,0,1,1,5.0,none,0.1117712728329402,0.1117712728329402
3NDB,B,A,3.0,0,native,0.0,0.0,2,0,1,1,5.0,none,0.1117712728329402,0.1117712728329402
2Z5H,C,D,-3.0,0,native,0.0,0.0,73,5,10,58,5.0,none,4.003715540201609,0.266914369346774
2Z5H,C,D,-1.5,0,native,1.0,0.14285714285714285,73,3,8,62,5.0,none,5.000929498807837,0.4546299544370761
2Z5H,C,D,0.0,0,native,-3.0,-0.6,73,4,4,65,5.0,none,-0.9960021503955296,-0.1245002687994412
2Z5H,C,D,1.5,0,native,-1.0,-0.14285714285714285,73,5,5,63,5.0,none,-1.0016110128863807,-0.10016110128863806
2Z5H,C,D,3.0,0,native,1.0,0.1111111111111111,73,8,7,58,5.0,none,0.9916058446002993,0.06610705630668662
2Z5I,C,D,-3.0,0,native,1.0,0.1111111111111111,73,4,10,59,5.0,none,4.000384161228439,0.28574172580203133
2Z5I,C,D,-1.5,0,native,1.0,0.14285714285714285,73,3,8,62,5.0,none,3.9984968054028642,0.36349970958207856
2Z5I,C,D,0.0,0,native,0.0,0.0,73,4,4,65,5.0,none,-0.996960318642322,-0.12462003983029026
2Z5I,C,D,1.5,0,native,0.0,0.0,73,5,3,65,5.0,none,-1.0011252673576265,-0.12514065841970332
2Z5I,C,D,3.0,0,native,-1.0,-0.14285714285714285,73,9,3,61,5.0,none,-4.000899303424806,-0.33340827528540046
2ZXE,B,A,-3.0,0,native,15.0,0.7142857142857143,134,3,25,106,5.0,none,14.999180148901047,0.5356850053178945
2ZXE,B,A,-1.5,0,native,4.0,0.25,134,6,15,113,5.0,none,4.002259795499586,0.19058379978569456
2ZXE,B,A,0.0,0,native,-3.0,-0.2727272727272727,134,7,10,117,5.0,none,-2.9921004725437843,-0.17600591014963438
2ZXE,B,A,1.5,0,native,-11.0,-0.8461538461538461,134,12,5,117,5.0,none,-10.767936018948696,-0.6334080011146291
2ZXE,B,A,3.0,0,native,-15.0,-0.7142857142857143,134,26,3,105,5.0,none,-15.004027267435536,-0.5173802506012254
3A3Y,B,A,-3.0,0,native,15.0,0.7142857142857143,123,3,25,95,5.0,none,15.001166441176306,0.5357559443277252
3A3Y,B,A,-1.5,0,native,8.0,0.5714285714285714,123,3,16,104,5.0,none,7.998582184903798,0.42097800973177885
3A3Y,B,A,0.0,0,native,-2.0,-0.3333333333333333,123,4,5,114,5.0,none,-1.9949977990180487,-0.22166642211311652
3A3Y,B,A,1.5,0,native,-9.0,-0.6923076923076923,123,12,4,107,5.0,none,-8.993632153633724,-0.5621020096021078
3A3Y,B,A,3.0,0,native,-12.0,-0.75,123,19,2,102,5.0,none,-12.000873639711875,-0.5714701733196131
3GDV,A,B,-3.0,0,native,4.0,0.18181818181818182,94,12,17,65,5.0,none,3.665328947832802,0.1263906533735449
3GDV,A,B,-1.5,0,native,2.0,0.2,94,6,11,77,5.0,none,1.7931138555190151,0.1054772856187656
3GDV,A,B,0.0,0,native,0.0,0.0,94,3,5,86,5.0,none,-0.10658929041292241,-0.013323661301615301
3GDV,A,B,1.5,0,native,1.0,0.1111111111111111,94,5,9,80,5.0,none,1.1159419453966848,0.07971013895690605
3GDV,A,B,3.0,0,native,-1.0,-0.058823529411764705,94,10,13,71,5.0,none,-0.7677992736374526,-0.03338257711467185
3GDU,A,B,-3.0,0,native,1.0,0.058823529411764705,98,9,12,77,5.0,none,0.8885949400999225,0.04231404476666297
3GDU,A,B,-1.5,0,native,-1.0,-0.14285714285714285,98,7,6,85,5.0,none,-1.1105905955505233,-0.08543004581157872
3GDU,A,B,0.0,0,native,-1.0,-0.2,98,6,5,87,5.0,none,-1.1097080393997842,-0.10088254903634403
3GDU,A,B,1.5,0,native,4.0,0.5,98,3,11,84,5.0,none,4.114360996714365,0.29388292833674035
3GDU,A,B,3.0,0,native,2.0,0.1,98,10,14,74,5.0,none,2.1144350159469054,0.08810145899778772
1FS2,A,B,-3.0,0,native,-7.0,-0.6363636363636364,80,9,5,66,5.0,none,-6.774384978148507,-0.4838846412963219
1FS2,A,B,-1.5,0,native,-10.0,-1.0,80,10,2,68,5.0,none,-9.84524558222116,-0.8204371318517634
1FS2,A,B,0.0,0,native,-2.0,-1.0,80,4,3,73,5.0,none,-1.7450011925300262,-0.2492858846471466
1FS2,A,B,1.5,0,native,5.0,0.5555555555555556,80,4,7,69,5.0,none,4.850690587235191,0.4409718715668356
1FS2,A,B,3.0,0,native,7.0,0.6363636363636364,80,5,9,66,5.0,none,6.775930687265202,0.48399504909037155
2AST,B,A,-3.0,0,native,-3.0,-0.2727272727272727,91,7,11,73,5.0,none,1.515110548057093,0.08417280822539405
2AST,B,A,-1.5,0,native,-1.0,-0.14285714285714285,91,6,7,78,5.0,none,0.25056579965680115,0.019274292281292398
2AST,B,A,0.0,0,native,-1.0,-0.2,91,4,2,85,5.0,none,-2.071692188040617,-0.3452820313401028
2AST,B,A,1.5,0,native,-2.0,-0.3333333333333333,91,6,2,83,5.0,none,-4.144370041688792,-0.518046255211099
2AST,B,A,3.0,0,native,3.0,0.2727272727272727,91,9,7,75,5.0,none,0.6309764784687371,0.039436029904296066
3AAA,A,B,-3.0,0,native,-19.0,-0.3877551020408163,256,37,29,190,5.0,none,-17.68764354822471,-0.26799459921552593
3AAA,A,B,-1.5,0,native,-17.0,-0.5483870967741935,256,28,17,211,5.0,none,-15.841327078813762,-0.3520294906403058
3AAA,A,B,0.0,0,native,0.0,0.0,256,16,11,229,5.0,none,0.989051906629768,0.036631552097398816
3AAA,A,B,1.5,0,native,9.0,0.3333333333333333,256,19,20,217,5.0,none,9.838365884585054,0.25226579191243725
3AAA,A,B,3.0,0,native,20.0,0.47619047619047616,256,25,32,199,5.0,none,20.757999777649292,0.3641754346956016
1IZN,A,B,-3.0,0,native,-12.0,-0.2608695652173913,278,31,31,216,5.0,none,-11.75943003653114,-0.18966822639566355
1IZN,A,B,-1.5,0,native,-8.0,-0.4444444444444444,278,16,12,250,5.0,none,-7.62529060259373,-0.2723318072354904
1IZN,A,B,0.0,0,native,-3.0,-0.2727272727272727,278,11,10,257,5.0,none,-2.7020810958082864,-0.12867052837182316
1IZN,A,B,1.5,0,native,6.0,0.2727272727272727,278,15,17,246,5.0,none,6.068984044255877,0.18965575138299615
1IZN,A,B,3.0,0,native,9.0,0.2,278,29,29,220,5.0,none,9.061204548394308,0.15622766462748808
3MTU,A,B,-3.0,0,native,-10.0,-0.4166666666666667,101,17,12,72,5.0,none,-8.983836465167315,-0.3097874643161143
3MTU,A,B,-1.5,0,native,-3.0,-0.2,101,11,9,81,5.0,none,-1.997411341092597,-0.09987056705462985
3MTU,A,B,0.0,0,native,4.0,0.3333333333333333,101,7,8,86,5.0,none,4.990144015983511,0.3326762677322341
3MTU,A,B,1.5,0,native,2.0,0.14285714285714285,101,10,8,83,5.0,none,0.9926245461692648,0.05514580812051471
3MTU,A,B,3.0,0,native,4.0,0.2857142857142857,101,10,9,82,5.0,none,2.990294468083821,0.1573839193728327
3GJO,A,B,-3.0,0,native,-6.0,-0.42857142857142855,102,11,9,82,5.0,none,-5.99080979534752,-0.299540489767376
3GJO,A,B,-1.5,0,native,-4.0,-0.5,102,8,5,89,5.0,none,-3.9993942740845947,-0.3076457133911227
3GJO,A,B,0.0,0,native,-2.0,-0.3333333333333333,102,7,4,91,5.0,none,-1.8927661928248303,-0.1720696538931664
3GJO,A,B,1.5,0,native,2.0,0.3333333333333333,102,5,6,91,5.0,none,1.994636036255199,0.18133054875047264
3GJO,A,B,3.0,0,native,5.0,0.38461538461538464,102,8,11,83,5.0,none,4.992619470685422,0.2627694458255485
1XQH,A,B,-3.0,0,native,-9.0,-1.0,34,16,2,16,5.0,none,-12.756125315882459,-0.7086736286601366
1XQH,A,B,-1.5,0,native,-6.0,-1.0,34,13,2,19,5.0,none,-9.758636637758132,-0.6505757758505422
1XQH,A,B,0.0,0,native,0.0,0.0,34,8,3,23,5.0,none,-2.8837839772639313,-0.2621621797512665
1XQH,A,B,1.5,0,native,4.0,1.0,34,4,6,24,5.0,none,2.996280850117291,0.2996280850117291
1XQH,A,B,3.0,0,native,10.0,1.0,34,3,15,16,5.0,none,11.699648256046737,0.6499804586692632
1O9S,A,K,-3.0,0,native,-8.0,-1.0,40,15,0,25,5.0,none,-12.70227086353253,-0.8468180575688353
1O9S,A,K,-1.5,0,native,-7.0,-1.0,40,13,0,27,5.0,none,-10.76188459372865,-0.8278372764406654
1O9S,A,K,0.0,0,native,0.0,0.0,40,3,0,37,5.0,none,-0.94421606921647,-0.31473868973882335
1O9S,A,K,1.5,0,native,6.0,1.0,40,2,11,27,5.0,none,10.698468376941282,0.8229591059185601
1O9S,A,K,3.0,0,native,5.0,1.0,40,2,9,29,5.0,none,8.758232528524,0.7962029571385454
3O1I,C,A,-3.0,0,native,4.0,0.4,55,4,10,41,5.0,none,3.8894657883506576,0.2778189848821898
3O1I,C,A,-1.5,0,native,1.0,0.2,55,3,5,47,5.0,none,0.9985910967282479,0.12482388709103098
3O1I,C,A,0.0,0,native,-5.0,-1.0,55,6,1,48,5.0,none,-4.9994218860289985,-0.7142031265755712
3O1I,C,A,1.5,0,native,-5.0,-1.0,55,6,1,48,5.0,none,-4.9994218860289985,-0.7142031265755712
